offset,opcode,kind,target
0x001A44,0x4EB9,jsr_abs_l,0x0000EF48
0x001A66,0x4EB9,jsr_abs_l,0x0000EBD6
0x001A82,0x4EB9,jsr_abs_l,0x0000F3DC
0x001A9C,0x4EB9,jsr_abs_l,0x0000F3C2
0x001AB4,0x4EB9,jsr_abs_l,0x00006544
0x001AC4,0x4EB9,jsr_abs_l,0x0000F4C2
0x001AD8,0x4EB9,jsr_abs_l,0x00006722
0x001AEA,0x4EB9,jsr_abs_l,0x00006722
0x001B18,0x4EB9,jsr_abs_l,0x0000EBD6
0x001B40,0x4EB9,jsr_abs_l,0x0000F3DC
0x001B52,0x4EB9,jsr_abs_l,0x0000F3C2
0x001B6E,0x4EB9,jsr_abs_l,0x0000EBD6
0x001B8A,0x4EB9,jsr_abs_l,0x0000E864
0x001B90,0x4EB9,jsr_abs_l,0x0000F3DC
0x001B9A,0x4EB9,jsr_abs_l,0x0000EBD6
0x001C02,0x4EB9,jsr_abs_l,0x0000EB2A
0x001C10,0x4EB9,jsr_abs_l,0x0000EB74
0x001D00,0x4EB9,jsr_abs_l,0x00006544
0x001D12,0x4EB9,jsr_abs_l,0x0000F4C2
0x001DAE,0x4EB9,jsr_abs_l,0x00006544
0x001DC0,0x4EB9,jsr_abs_l,0x0000F4C2
0x001E8A,0x4EB9,jsr_abs_l,0x0000E37E
0x001E90,0x4EB9,jsr_abs_l,0x0000E48E
0x001E96,0x4EB9,jsr_abs_l,0x0000E47C
0x001EAE,0x4EB9,jsr_abs_l,0x0000E5DA
0x001EB6,0x4EB9,jsr_abs_l,0x0000E9D0
0x001ED4,0x4EB9,jsr_abs_l,0x0000EBD6
0x001F10,0x4EB9,jsr_abs_l,0x00006544
0x001F18,0x4EB9,jsr_abs_l,0x0000E748
0x001F38,0x4EB9,jsr_abs_l,0x0000EBB2
0x001F90,0x4EB9,jsr_abs_l,0x0000EBD6
0x001FBC,0x4EB9,jsr_abs_l,0x0000E596
0x001FC2,0x4EB9,jsr_abs_l,0x0000E400
0x001FD4,0x4EB9,jsr_abs_l,0x0000ED54
0x001FEC,0x4EB9,jsr_abs_l,0x0000F4D4
0x001FFE,0x4EB9,jsr_abs_l,0x0000EBD6
0x00206A,0x4EB9,jsr_abs_l,0x0000EB2A
0x002078,0x4EB9,jsr_abs_l,0x0000EB74
0x00210C,0x4EB9,jsr_abs_l,0x00006544
0x00211E,0x4EB9,jsr_abs_l,0x0000F4C2
0x0021B0,0x4EB9,jsr_abs_l,0x00006544
0x002228,0x4EB9,jsr_abs_l,0x0000E37E
0x00222E,0x4EB9,jsr_abs_l,0x0000E48E
0x002234,0x4EB9,jsr_abs_l,0x0000E47C
0x00223A,0x4EB9,jsr_abs_l,0x0000E5DA
0x002242,0x4EB9,jsr_abs_l,0x0000E9D0
0x002258,0x4EB9,jsr_abs_l,0x0000EBD6
0x0022C4,0x4EB9,jsr_abs_l,0x0000EB2A
0x0022D2,0x4EB9,jsr_abs_l,0x0000EB74
0x0022E8,0x4EB9,jsr_abs_l,0x00006544
0x0022FA,0x4EB9,jsr_abs_l,0x0000F4C2
0x0023F4,0x4EB9,jsr_abs_l,0x00006544
0x002408,0x4EB9,jsr_abs_l,0x0000F4C2
0x00242A,0x4EB9,jsr_abs_l,0x0000F4C2
0x002472,0x4EB9,jsr_abs_l,0x00006544
0x002492,0x4EB9,jsr_abs_l,0x0000F4C2
0x0024E2,0x4EB9,jsr_abs_l,0x00006544
0x002502,0x4EB9,jsr_abs_l,0x0000F4C2
0x00254E,0x4EB9,jsr_abs_l,0x0000EBD6
0x002584,0x4EB9,jsr_abs_l,0x0000EA7A
0x0025A2,0x4EB9,jsr_abs_l,0x0000E7CC
0x0025BC,0x4EB9,jsr_abs_l,0x0000E87A
0x0025C8,0x4EB9,jsr_abs_l,0x0000ED54
0x0025E0,0x4EB9,jsr_abs_l,0x0000F4D4
0x0025F8,0x4EB9,jsr_abs_l,0x00006544
0x002660,0x4EB9,jsr_abs_l,0x0000EA7A
0x002680,0x4EB9,jsr_abs_l,0x0000EBD6
0x0026E8,0x4EB9,jsr_abs_l,0x0000EB2A
0x0026F6,0x4EB9,jsr_abs_l,0x0000EB74
0x002740,0x4EB9,jsr_abs_l,0x00006544
0x002752,0x4EB9,jsr_abs_l,0x0000F4C2
0x002828,0x4EB9,jsr_abs_l,0x0000E5DA
0x002830,0x4EB9,jsr_abs_l,0x0000E9D0
0x00284E,0x4EB9,jsr_abs_l,0x0000EBD6
0x0028D2,0x4EB9,jsr_abs_l,0x00006544
0x0028F8,0x4EB9,jsr_abs_l,0x0000EBB2
0x002902,0x4EB9,jsr_abs_l,0x0000F4C2
0x002922,0x4EB9,jsr_abs_l,0x0000F4C2
0x00298C,0x4EB9,jsr_abs_l,0x0000EBD6
0x0029D0,0x4EB9,jsr_abs_l,0x0000EBD6
0x0029EC,0x4EB9,jsr_abs_l,0x0000EF48
0x002A0E,0x4EB9,jsr_abs_l,0x0000EBD6
0x002A26,0x4EB9,jsr_abs_l,0x0000F3DC
0x002A40,0x4EB9,jsr_abs_l,0x00006544
0x002A50,0x4EB9,jsr_abs_l,0x0000F4C2
0x002A64,0x4EB9,jsr_abs_l,0x00006722
0x002A74,0x4EB9,jsr_abs_l,0x00006722
0x002AA2,0x4EB9,jsr_abs_l,0x0000EBD6
0x002AC2,0x4EB9,jsr_abs_l,0x0000E864
0x002AC8,0x4EB9,jsr_abs_l,0x0000F3DC
0x002AD2,0x4EB9,jsr_abs_l,0x0000EBD6
0x002ADA,0x4EB9,jsr_abs_l,0x0000EBD6
0x002B1C,0x4EB9,jsr_abs_l,0x0000EA7A
0x002B38,0x4EB9,jsr_abs_l,0x0000E50E
0x002B5C,0x4EB9,jsr_abs_l,0x0000E7CC
0x002B76,0x4EB9,jsr_abs_l,0x0000E87A
0x002B8A,0x4EB9,jsr_abs_l,0x0000ED54
0x002BA2,0x4EB9,jsr_abs_l,0x0000F4D4
0x002BB0,0x4EB9,jsr_abs_l,0x0000EBD6
0x002BD8,0x4EB9,jsr_abs_l,0x00006722
0x002C5A,0x4EB9,jsr_abs_l,0x00006544
0x002CA4,0x4EB9,jsr_abs_l,0x0000EBD6
0x002CF0,0x4EB9,jsr_abs_l,0x00006722
0x002D58,0x4EB9,jsr_abs_l,0x0000658C
0x002D5E,0x4EB9,jsr_abs_l,0x00006544
0x002F74,0x4EB9,jsr_abs_l,0x00006544
0x002F86,0x4EB9,jsr_abs_l,0x0000F4C2
0x003020,0x4EB9,jsr_abs_l,0x0000F4C2
0x003038,0x4EB9,jsr_abs_l,0x00006544
0x0030CA,0x4EB9,jsr_abs_l,0x0000E5DA
0x0030E8,0x4EB9,jsr_abs_l,0x0000EBD6
0x00312C,0x4EB9,jsr_abs_l,0x00006544
0x003134,0x4EB9,jsr_abs_l,0x0000E6B0
0x003154,0x4EB9,jsr_abs_l,0x0000EBB2
0x0031A2,0x4EB9,jsr_abs_l,0x0000F4C2
0x0031BE,0x4EB9,jsr_abs_l,0x0000EBD6
0x0031EA,0x4EB9,jsr_abs_l,0x0000E596
0x0031F0,0x4EB9,jsr_abs_l,0x0000E400
0x003204,0x4EB9,jsr_abs_l,0x0000ED54
0x00321C,0x4EB9,jsr_abs_l,0x0000F4D4
0x003232,0x4EB9,jsr_abs_l,0x0000EA7A
0x00323E,0x4EB9,jsr_abs_l,0x0000E50E
0x00325A,0x4EB9,jsr_abs_l,0x00006544
0x00326E,0x4EB9,jsr_abs_l,0x0000EA7A
0x00329E,0x4EB9,jsr_abs_l,0x0000EBD6
0x0032C2,0x4EB9,jsr_abs_l,0x0000EBD6
0x0032DE,0x4EB9,jsr_abs_l,0x0000EF48
0x003304,0x4EB9,jsr_abs_l,0x0000EBD6
0x00331C,0x4EB9,jsr_abs_l,0x0000F3DC
0x00333A,0x4EB9,jsr_abs_l,0x00006544
0x003346,0x4EB9,jsr_abs_l,0x0000F4C2
0x00335A,0x4EB9,jsr_abs_l,0x00006722
0x00336A,0x4EB9,jsr_abs_l,0x00006722
0x003392,0x4EB9,jsr_abs_l,0x0000EBD6
0x0033B2,0x4EB9,jsr_abs_l,0x0000E864
0x0033B8,0x4EB9,jsr_abs_l,0x0000F3DC
0x0033C6,0x4EB9,jsr_abs_l,0x0000EBD6
0x00347C,0x4EB9,jsr_abs_l,0x00006544
0x00348E,0x4EB9,jsr_abs_l,0x0000F4C2
0x0034A6,0x4EB9,jsr_abs_l,0x0000EA7A
0x003520,0x4EB9,jsr_abs_l,0x00006544
0x003538,0x4EB9,jsr_abs_l,0x0000F4C2
0x003550,0x4EB9,jsr_abs_l,0x0000EA7A
0x0035A8,0x4EB9,jsr_abs_l,0x00006544
0x0035C0,0x4EB9,jsr_abs_l,0x0000F4C2
0x0035D8,0x4EB9,jsr_abs_l,0x0000EA7A
0x003630,0x4EB9,jsr_abs_l,0x00006544
0x0036AC,0x4EB9,jsr_abs_l,0x0000E5DA
0x0036CA,0x4EB9,jsr_abs_l,0x0000EBD6
0x0036EA,0x4EB9,jsr_abs_l,0x0000EF48
0x00370C,0x4EB9,jsr_abs_l,0x0000EBD6
0x003728,0x4EB9,jsr_abs_l,0x0000F3DC
0x003742,0x4EB9,jsr_abs_l,0x00006544
0x003752,0x4EB9,jsr_abs_l,0x0000F4C2
0x003768,0x4EB9,jsr_abs_l,0x0000EA7A
0x003772,0x4EB9,jsr_abs_l,0x00006722
0x003782,0x4EB9,jsr_abs_l,0x00006722
0x0037AA,0x4EB9,jsr_abs_l,0x0000EBD6
0x0037CA,0x4EB9,jsr_abs_l,0x0000E864
0x0037D0,0x4EB9,jsr_abs_l,0x0000F3DC
0x0037FC,0x4EB9,jsr_abs_l,0x0000EBD6
0x003826,0x4EB9,jsr_abs_l,0x0000EBD6
0x003850,0x4EB9,jsr_abs_l,0x00006544
0x003868,0x4EB9,jsr_abs_l,0x00006722
0x003878,0x4EB9,jsr_abs_l,0x0000F4C2
0x003886,0x4EB9,jsr_abs_l,0x00006722
0x003898,0x4EB9,jsr_abs_l,0x0000F4C2
0x003910,0x4EB9,jsr_abs_l,0x0000EA7A
0x003954,0x4EB9,jsr_abs_l,0x00006544
0x00396C,0x4EB9,jsr_abs_l,0x0000EA7A
0x003998,0x4EB9,jsr_abs_l,0x0000E748
0x0039A6,0x4EB9,jsr_abs_l,0x0000ED54
0x0039BE,0x4EB9,jsr_abs_l,0x0000F4D4
0x0039E0,0x4EB9,jsr_abs_l,0x0000EBD6
0x003A72,0x4EF9,jmp_abs_l,0x0000F3A0
0x003A78,0x4EF9,jmp_abs_l,0x0000F9B6
0x003A7E,0x4EF9,jmp_abs_l,0x000100FC
0x003A84,0x4EF9,jmp_abs_l,0x00010F92
0x003A8A,0x4EF9,jmp_abs_l,0x00010FB2
0x003A90,0x4EF9,jmp_abs_l,0x00010FD2
0x003A96,0x4EF9,jmp_abs_l,0x00011742
0x003A9C,0x4EF9,jmp_abs_l,0x00011762
0x003AA2,0x4EF9,jmp_abs_l,0x0001178E
0x003AA8,0x4EF9,jmp_abs_l,0x00013FAC
0x003AAE,0x4EF9,jmp_abs_l,0x00014022
0x003AB4,0x4EF9,jmp_abs_l,0x000140AE
0x003ABA,0x4EF9,jmp_abs_l,0x00014122
0x003AC0,0x4EF9,jmp_abs_l,0x0001418C
0x003AC6,0x4EF9,jmp_abs_l,0x00014238
0x003ACC,0x4EF9,jmp_abs_l,0x000142AA
0x003AD2,0x4EF9,jmp_abs_l,0x00014386
0x003AD8,0x4EF9,jmp_abs_l,0x000143F4
0x003ADE,0x4EF9,jmp_abs_l,0x00014420
0x003AE4,0x4EF9,jmp_abs_l,0x000153CE
0x003AEA,0x4EF9,jmp_abs_l,0x00015420
0x003AF0,0x4EF9,jmp_abs_l,0x00019838
0x003AF6,0x4EF9,jmp_abs_l,0x00019854
0x003AFC,0x4EF9,jmp_abs_l,0x000198BC
0x003B02,0x4EF9,jmp_abs_l,0x00019968
0x003B08,0x4EF9,jmp_abs_l,0x00019A32
0x003B48,0x4EB9,jsr_abs_l,0x00004F86
0x003B88,0x4EB9,jsr_abs_l,0x00004FDA
0x003BDA,0x4EB9,jsr_abs_l,0x00004FDA
0x003BF8,0x4EB9,jsr_abs_l,0x00004FDA
0x003C0C,0x4EB9,jsr_abs_l,0x00004FDA
0x003C2A,0x4EB9,jsr_abs_l,0x00004FDA
0x003C3E,0x4EB9,jsr_abs_l,0x00004FDA
0x003C52,0x4EB9,jsr_abs_l,0x00004FDA
0x003C6A,0x4EB9,jsr_abs_l,0x00004FDA
0x003C7E,0x4EB9,jsr_abs_l,0x00004FDA
0x003C92,0x4EB9,jsr_abs_l,0x00004FDA
0x003CF6,0x4EB9,jsr_abs_l,0x00004FDA
0x003D6E,0x4EB9,jsr_abs_l,0x00004FDA
0x003DAA,0x4EB9,jsr_abs_l,0x00004F86
0x003DEA,0x4EB9,jsr_abs_l,0x0001E19A
0x003EB4,0x4EB9,jsr_abs_l,0x00004F86
0x003F0C,0x4EB9,jsr_abs_l,0x00004F86
0x003FFA,0x4EB9,jsr_abs_l,0x00004F86
0x0040D0,0x4EB9,jsr_abs_l,0x00004F86
0x004170,0x4EB9,jsr_abs_l,0x00004F86
0x0041D0,0x4EB9,jsr_abs_l,0x00004F86
0x0042D2,0x4EB9,jsr_abs_l,0x00004F86
0x004350,0x4EB9,jsr_abs_l,0x00004F86
0x0043CE,0x4EB9,jsr_abs_l,0x00004F86
0x0043E2,0x4EF9,jmp_abs_l,0x000200D6
0x0043E8,0x4EF9,jmp_abs_l,0x000200F4
0x0043EE,0x4EF9,jmp_abs_l,0x00020154
0x0043F4,0x4EF9,jmp_abs_l,0x00020172
0x0043FA,0x4EF9,jmp_abs_l,0x000201F2
0x004400,0x4EF9,jmp_abs_l,0x00020212
0x004406,0x4EF9,jmp_abs_l,0x0002023A
0x00440C,0x4EF9,jmp_abs_l,0x000203CC
0x004412,0x4EF9,jmp_abs_l,0x000203E6
0x004418,0x4EF9,jmp_abs_l,0x000203F6
0x00441E,0x4EF9,jmp_abs_l,0x0002041C
0x004424,0x4EF9,jmp_abs_l,0x0002043E
0x00442A,0x4EF9,jmp_abs_l,0x0002044E
0x004430,0x4EF9,jmp_abs_l,0x0002047C
0x004436,0x4EF9,jmp_abs_l,0x0002286A
0x00443C,0x4EF9,jmp_abs_l,0x00022B06
0x004442,0x4EF9,jmp_abs_l,0x00022B38
0x004448,0x4EF9,jmp_abs_l,0x00022BD0
0x00444E,0x4EF9,jmp_abs_l,0x00022DD6
0x004454,0x4EF9,jmp_abs_l,0x00023170
0x00445A,0x4EF9,jmp_abs_l,0x0002317C
0x004460,0x4EF9,jmp_abs_l,0x000231C4
0x004466,0x4EF9,jmp_abs_l,0x000231E8
0x0044A4,0x4EF9,jmp_abs_l,0x0002341E
0x0044AA,0x4EF9,jmp_abs_l,0x0002355A
0x0046CE,0x4EB9,jsr_abs_l,0x0000485E
0x004754,0x4EB9,jsr_abs_l,0x00006432
0x00476A,0x4EB9,jsr_abs_l,0x00006432
0x004778,0x4EB9,jsr_abs_l,0x00006432
0x00479C,0x4EB9,jsr_abs_l,0x00004878
0x0053B8,0x4EB9,jsr_abs_l,0x000058E2
0x0056B4,0x4EB9,jsr_abs_l,0x000058E2
0x005AA2,0x4EB9,jsr_abs_l,0x00004878
0x005AB8,0x4EB9,jsr_abs_l,0x0000658C
0x005B5A,0x4EB9,jsr_abs_l,0x0000485E
0x00620C,0x4EB9,jsr_abs_l,0x00006672
0x00671A,0x4EB9,jsr_abs_l,0x00004878
0x00675E,0x4EB9,jsr_abs_l,0x0000596A
0x0067B2,0x4EB9,jsr_abs_l,0x00005CDC
0x0067E4,0x4EB9,jsr_abs_l,0x0000485E
0x006814,0x4EB9,jsr_abs_l,0x00004878
0x006820,0x4EB9,jsr_abs_l,0x0000485E
0x006888,0x4EB9,jsr_abs_l,0x00005B3A
0x006894,0x4EB9,jsr_abs_l,0x0000485E
0x00689C,0x4EB9,jsr_abs_l,0x00006416
0x0068A6,0x4EB9,jsr_abs_l,0x0000C082
0x0068BC,0x4EB9,jsr_abs_l,0x0000C1CC
0x0068CC,0x4EB9,jsr_abs_l,0x00008B1C
0x0068DE,0x4EB9,jsr_abs_l,0x0000B5C8
0x0068F0,0x4EB9,jsr_abs_l,0x00008F3C
0x0068F6,0x4EB9,jsr_abs_l,0x0000B4FE
0x0068FC,0x4EB9,jsr_abs_l,0x0000963A
0x006908,0x4EB9,jsr_abs_l,0x0000B876
0x006914,0x4EB9,jsr_abs_l,0x0000AC34
0x006926,0x4EB9,jsr_abs_l,0x0000658C
0x00692C,0x4EB9,jsr_abs_l,0x0000646C
0x00694C,0x4EB9,jsr_abs_l,0x000064B4
0x006956,0x4EB9,jsr_abs_l,0x0000C20C
0x00695C,0x4EB9,jsr_abs_l,0x0000C1CC
0x006962,0x4EB9,jsr_abs_l,0x0000C10E
0x006968,0x4EB9,jsr_abs_l,0x0000CD82
0x00697C,0x4EB9,jsr_abs_l,0x000095B0
0x006982,0x4EB9,jsr_abs_l,0x0000C060
0x0069A2,0x4EB9,jsr_abs_l,0x0000485E
0x0069AA,0x4EB9,jsr_abs_l,0x00006416
0x0069C0,0x4EB9,jsr_abs_l,0x0000C1EC
0x0069E8,0x4EB9,jsr_abs_l,0x0000B51E
0x006A02,0x4EB9,jsr_abs_l,0x0000485E
0x006A0E,0x4EB9,jsr_abs_l,0x0000485E
